OTU_ID	R1_A_D1	R1_A_D2	R1_B_D1	R1_B_D2	R1_C_D1	R1_C_D2	R2A_A_D1	R2A_A_D2	R2A_B_D1	R2A_B_D2	R2A_C_D1	R2A_C_D2	R2_A_D1	R2_A_D2	R2_B_D1	R2_B_D2	R2_C_D1	R2_C_D2	SF2_A_D1	SF2_A_D2	SF2_B_D1	SF2_B_D2	SF2_C_D1	SF2_C_D2	Consensus lineage
11406	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Archaea;p__Euryarchaeota
11408	0	0	0	0	0	0	0	0	4	6	0	0	0	0	0	0	0	0	0	0	0	0	4	1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__BacteroidalesOR;g__BacteroidalesOR
11409	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	1	1	0	0	0	k__Bacteria;p__Planctomycetes;c__ODP123;o__ODP123CL;f__ODP123CL;g__ODP123CL
11410	0	0	2	1	1	2	0	0	0	0	0	0	0	0	4	1	0	1	0	0	0	0	0	0	k__Bacteria;p__GN02;c__GN02PH;o__GN02PH;f__GN02PH;g__GN02PH
11411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	3	9	0	k__Bacteria
11412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	1	3	4	0	k__Bacteria;p__Elusimicrobia;c__ElusimicrobiaPH;o__ElusimicrobiaPH;f__ElusimicrobiaPH;g__ElusimicrobiaPH
11413	0	0	5	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Halanaerobiales;f__Halobacteroidaceae;g__HalobacteroidaceaeFA
11414	0	0	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	4	0	2	0	0	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__NKB15;f__NKB15OR;g__NKB15OR
11415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	1	k__Bacteria;p__Bacteroidetes;c__Sphingobacteria;o__Sphingobacteriales;f__Saprospiraceae;g__SaprospiraceaeFA
11416	2	2	1	0	1	2	0	0	0	0	0	0	1	3	0	1	1	0	0	0	0	0	0	1	k__Bacteria;p__Firmicutes;c__Clostridia;o__Halanaerobiales;f__Halanaerobiaceae;g__HalanaerobiaceaeFA
11417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	9	0	k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Phycisphaerales;f__PhycisphaeralesOR;g__PhycisphaeralesOR
11418	0	0	0	0	0	0	7	2	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Planctomycetes;c__Planctomycea;o__Planctomycetales;f__Planctomycetaceae;g__Planctomyces
11419	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	1	7	2	k__Bacteria;p__Planctomycetes;c__Planctomycea;o__Pirellulales;f__Pirellulaceae;g__PirellulaceaeFA
11420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__ZB2;c__ZB2PH;o__ZB2PH;f__ZB2PH;g__ZB2PH
11421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	2	4	2	k__Bacteria;p__OP11;c__OP11-3;o__OP11-3CL;f__OP11-3CL;g__OP11-3CL
11423	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__DeltaproteobacteriaCL;f__DeltaproteobacteriaCL;g__DeltaproteobacteriaCL
11424	0	0	0	0	0	0	0	0	1	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Bacteroidetes;c__Flavobacteria;o__Flavobacteriales;f__Flavobacteriaceae;g__Arenibacter
11425	3	3	0	3	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	k__Bacteria
11426	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2	0	1	1	9	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__ChromatialesOR;g__ChromatialesOR
11427	0	0	1	0	0	1	0	0	0	0	0	0	1	6	2	0	1	0	0	0	0	0	0	0	k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__MethanobacterialesOR;g__MethanobacterialesOR
11428	0	0	0	0	0	0	0	0	0	0	1	11	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__BRC1;c__PRR-11;o__PRR-11CL;f__PRR-11CL;g__PRR-11CL
11429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	1	0	7	0	k__Bacteria
11430	0	0	1	0	2	2	0	0	0	0	0	0	2	0	1	1	2	2	0	0	0	0	0	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Halanaerobiales;f__Halobacteroidaceae;g__HalobacteroidaceaeFA
11431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Nitrospinaceae;g__NitrospinaceaeFA
11432	0	0	0	0	0	0	0	1	4	2	8	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales;f__Syntrophobacteraceae;g__SyntrophobacteraceaeFA
11433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__BacteroidalesOR;g__BacteroidalesOR
11434	1	2	1	0	0	1	0	0	0	0	0	0	0	8	0	0	1	0	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Ectothiorhodospiraceae;g__Thioalkalivibrio
11435	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Planctomycetes;c__vadinHA49;o__vadinHA49CL;f__vadinHA49CL;g__vadinHA49CL
11437	0	0	0	0	0	0	7	5	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae;g__Saccharophagus
11438	0	0	0	0	0	0	0	3	2	3	4	2	0	0	0	0	0	0	0	0	0	1	0	0	k__Bacteria;p__Acidobacteria;c__Acidobacteria (class);o__Acidobacteriales;f__AcidobacterialesOR;g__AcidobacterialesOR
11439	0	0	0	1	0	1	0	0	0	3	1	0	0	2	0	0	0	0	1	0	0	0	3	1	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Oxalobacter
11440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	6	2	0	k__Archaea;p__ArchaeaKI;c__ArchaeaKI;o__ArchaeaKI;f__ArchaeaKI;g__ArchaeaKI
11441	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	2	2	2	2	3	1	k__Bacteria;p__Planctomycetes;c__Planctomycea;o__Pirellulales;f__PirellulalesOR;g__PirellulalesOR
11442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	1	8	2	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria
11443	0	1	0	0	0	0	0	7	3	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__AlphaproteobacteriaCL;f__AlphaproteobacteriaCL;g__AlphaproteobacteriaCL
11444	1	0	1	0	0	2	1	0	1	0	0	0	0	3	2	1	0	2	0	0	0	0	1	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Halomonadaceae;g__Chromohalobacter
11445	0	1	1	0	0	0	0	0	0	0	2	0	0	1	0	0	3	0	0	0	4	0	1	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae;g__Marinimicrobium
11446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	4	0	4	0	k__Archaea;p__Euryarchaeota;c__Methanococci;o__Methanococcales
11447	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	11	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__ZA3412c;g__ZA3412cFA
11448	0	0	0	0	0	0	3	1	5	0	2	1	0	0	0	0	0	0	0	0	0	0	3	0	k__Bacteria;p__Bacteroidetes;c__Flavobacteria;o__FlavobacteriaCL;f__FlavobacteriaCL;g__FlavobacteriaCL
11449	0	0	0	0	0	1	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Planctomycetes;c__Planctomycea;o__Pirellulales;f__PirellulalesOR;g__PirellulalesOR
11450	0	0	0	0	0	0	0	5	1	3	1	0	0	0	0	0	0	0	0	1	0	0	3	1	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae;g__ZD0117
11451	0	0	0	0	0	0	13	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__A4b;f__A4bOR;g__A4bOR
11452	0	0	0	0	0	0	0	1	2	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__MyxococcalesOR;g__MyxococcalesOR
11454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	2	0	7	0	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__NKB15;f__NKB15OR;g__NKB15OR
11455	0	0	1	1	0	1	0	0	0	0	0	0	2	3	2	1	0	2	0	0	0	0	0	1	k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__4C0d-2CL;f__4C0d-2CL;g__4C0d-2CL
11456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	9	1	k__Bacteria;p__Firmicutes
11457	0	0	0	0	0	0	1	10	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__MyxococcalesOR;g__MyxococcalesOR
11459	0	0	0	0	0	0	1	3	6	2	0	0	0	0	0	0	0	0	0	0	0	1	2	0	k__Bacteria;p__Acidobacteria;c__Sva0725;o__Sva0725;f__Sva0725OR;g__Sva0725OR
11460	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	1	1	0	0	6	2	k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Solirubrobacterales;f__SolirubrobacteralesOR;g__SolirubrobacteralesOR
11461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	9	0	k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Phycisphaerales;f__PhycisphaeralesOR;g__PhycisphaeralesOR
11462	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	3	3	3	1	k__Bacteria;p__Chloroflexi;c__Dehalococcoidetes;o__Dehalococcoidales;f__Dehalococcoidaceae;g__DehalococcoidaceaeFA
11463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	8	0	k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__MethanobacterialesOR;g__MethanobacterialesOR
11464	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	2	2	0	0	3	k__Bacteria;p__BRC1;c__PRR-11;o__PRR-11CL;f__PRR-11CL;g__PRR-11CL
11465	0	0	0	0	0	0	0	4	0	1	7	2	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Phycisphaerales;f__PhycisphaeralesOR;g__PhycisphaeralesOR
11466	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	3	3	2	2	k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__PhycisphaeraeCL;f__PhycisphaeraeCL;g__PhycisphaeraeCL
11467	0	0	0	0	0	0	4	3	4	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	k__Bacteria;p__Bacteroidetes;c__Flavobacteria;o__Flavobacteriales;f__Flavobacteriaceae
11468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	4	4	0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__BacteroidalesOR;g__BacteroidalesOR
11469	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Natronobacterium
11470	0	0	0	0	0	0	5	3	3	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Phyllobacteriaceae;g__PhyllobacteriaceaeFA
11471	0	0	0	0	0	0	0	1	1	1	5	6	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__OP11;c__OP11-3;o__OP11-3CL;f__OP11-3CL;g__OP11-3CL
11472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfurellales;f__Desulfurellaceae;g__DesulfurellaceaeFA
11473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	4	1	6	0	k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__OPB11;f__OPB11OR;g__OPB11OR
11474	0	0	0	0	0	0	0	1	0	12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__TM6;c__SJA-4;o__SJA-4CL;f__SJA-4CL;g__SJA-4CL
11475	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	1	1	3	1	2	k__Bacteria;p__Bacteroidetes;c__Flavobacteria;o__FlavobacteriaCL;f__FlavobacteriaCL;g__FlavobacteriaCL
11476	0	0	0	0	0	0	0	0	1	1	4	0	0	0	0	0	0	0	0	5	0	0	0	1	k__Bacteria;p__Planctomycetes;c__Planctomycea;o__Pirellulales;f__PirellulalesOR;g__PirellulalesOR
11477	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__HalobacteriaceaeFA
11479	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	3	0	6	k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__HalobacteriaceaeFA
11480	0	0	0	0	0	0	0	10	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__PaenibacillaceaeFA
11481	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	1	3	0	0	2	4	0	0	k__Bacteria;p__BRC1;c__PRR-11;o__PRR-11CL;f__PRR-11CL;g__PRR-11CL
11482	0	1	0	0	0	2	0	1	1	0	0	0	2	2	0	0	1	0	0	1	1	0	1	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiotrichales;f__Francisellaceae;g__FrancisellaceaeFA
11483	0	0	0	0	0	0	1	3	8	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	k__Bacteria;p__Chlamydiae;c__Chlamydiae (class);o__Chlamydiales;f__Parachlamydiaceae;g__ParachlamydiaceaeFA
11484	0	0	0	0	0	0	2	1	4	0	2	4	0	0	0	0	0	0	0	1	0	0	0	0	k__Bacteria;p__Chlamydiae;c__Chlamydiae (class);o__Chlamydiales
11485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	2	3	2	2	k__Bacteria;p__Planctomycetes;c__Kueneniae;o__KueneniaeCL;f__KueneniaeCL;g__KueneniaeCL
11486	0	0	0	0	0	0	5	5	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Acidobacteria;c__AcidobacteriaPH;o__AcidobacteriaPH;f__AcidobacteriaPH;g__AcidobacteriaPH
11487	0	0	0	0	0	0	0	0	0	4	1	1	0	0	0	0	0	0	0	1	1	0	1	5	k__Bacteria;p__BRC1;c__PRR-11;o__PRR-11CL;f__PRR-11CL;g__PRR-11CL
11488	0	0	0	0	0	0	0	13	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__PhycisphaeraceaeFA
11489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	7	2	k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__MethanobacterialesOR;g__MethanobacterialesOR
11490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	4	6	1	k__Bacteria;p__Chloroflexi;c__Dehalococcoidetes;o__Dehalococcoidales;f__Dehalococcoidaceae;g__DehalococcoidaceaeFA
11491	0	0	0	0	0	0	1	7	2	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__RhodospirillaceaeFA
11492	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	1	3	2	4	0	k__Bacteria;p__Bacteroidetes;c__Flavobacteria;o__Flavobacteriales;f__Flavobacteriaceae;g__Lacinutrix
11493	0	0	0	0	0	0	1	3	2	2	3	1	0	0	0	0	0	0	0	0	0	0	2	0	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__MyxococcalesOR;g__MyxococcalesOR
11494	2	2	0	0	0	1	0	0	0	0	0	0	0	1	1	1	5	1	0	0	0	0	0	0	k__Bacteria;p__Spirochaetes;c__Spirochaetes (class);o__Spirochaetales;f__Spirochaetaceae;g__Spirochaeta
11495	0	0	0	0	0	0	1	3	2	0	3	2	0	0	0	0	0	0	0	0	0	0	3	0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales
11496	0	0	0	0	0	0	3	6	2	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	k__Bacteria;p__Planctomycetes;c__agg27;o__OM190;f__OM190OR;g__OM190OR
11497	0	0	0	0	0	0	3	1	2	1	0	1	0	0	0	0	0	0	1	1	1	0	2	1	k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Nocardioidaceae;g__Nocardioides
11498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	6	3	0	k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__MethanobacterialesOR;g__MethanobacterialesOR
11499	1	0	2	2	0	1	0	2	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Haptophyceae;f__HaptophyceaeOR;g__HaptophyceaeOR
11500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	13	k__Bacteria;p__Bacteroidetes;c__Flavobacteria;o__Flavobacteriales;f__Flavobacteriaceae;g__Aquimarina
11501	0	0	0	0	0	0	0	12	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	k__Archaea;p__ArchaeaKI;c__ArchaeaKI;o__ArchaeaKI;f__ArchaeaKI;g__ArchaeaKI
11502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	12	0	k__Bacteria;p__GN04;c__GN15;o__GN15CL;f__GN15CL;g__GN15CL
11503	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	2	3	5	0	k__Bacteria;p__OP3;c__BD4-9;o__BD4-9CL;f__BD4-9CL;g__BD4-9CL
11504	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	2	6	2	k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__PhycisphaeraeCL;f__PhycisphaeraeCL;g__PhycisphaeraeCL
11505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	k__Archaea
11506	0	0	0	0	0	0	0	0	2	2	3	0	0	0	0	0	0	0	0	1	0	0	1	5	k__Bacteria;p__Chlamydiae;c__Chlamydiae (class);o__Chlamydiales;f__Waddliaceae;g__Waddlia
11507	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	1	4	0	4	1	k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__ActinomycetalesOR;g__ActinomycetalesOR
11508	0	0	0	0	0	0	0	0	1	1	11	1	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Planctomycetes;c__FFCH393;o__FFCH393CL;f__FFCH393CL;g__FFCH393CL
11509	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	5	3	0	1	1	k__Bacteria;p__Acidobacteria;c__Chloracidobacteria;o__ChloracidobacteriaCL;f__ChloracidobacteriaCL;g__ChloracidobacteriaCL
11510	0	1	2	3	1	0	1	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae
11512	0	0	0	0	0	0	0	0	0	7	0	3	0	0	0	0	0	0	0	0	1	1	2	0	k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__PhycisphaeraeCL;f__PhycisphaeraeCL;g__PhycisphaeraeCL
11513	0	0	0	0	0	0	6	7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae;o__Pseudanabaenales;f__Pseudanabaenaceae;g__Halomicronema
11514	0	0	0	0	0	0	5	4	1	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Bacteroidetes;c__Sphingobacteria;o__Sphingobacteriales;f__Rhodothermaceae;g__RhodothermaceaeFA
11515	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	8	0	1	0	0	0	0	2	1	k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Chlorophyta;f__Chlamydomonadaceae-Cyanobacteria;g__ChlamydomonadaceaeFA-Cyanobacteria
11516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	3	0	0	3	0	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales
11517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	5	2	1	k__Bacteria;p__Chlamydiae;c__Chlamydiae (class);o__Chlamydiales;f__ChlamydialesOR;g__ChlamydialesOR
11518	0	0	0	0	1	0	0	0	0	0	0	0	1	1	2	0	1	0	0	1	0	3	0	4	k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__MethanobacterialesOR;g__MethanobacterialesOR
11519	0	3	1	0	5	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
11520	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	3	1	5	1	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__DeltaproteobacteriaCL;f__DeltaproteobacteriaCL;g__DeltaproteobacteriaCL
11521	0	0	0	0	0	0	0	0	0	5	1	4	0	0	0	0	0	0	0	0	0	1	0	3	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Coxiellaceae;g__CoxiellaceaeFA
11522	0	0	0	0	0	0	0	1	0	3	1	0	0	1	1	3	1	0	0	0	0	0	1	0	k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__MethanobacterialesOR;g__MethanobacterialesOR
11523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	8	4	k__Bacteria;p__Planctomycetes;c__ODP123;o__ODP123CL;f__ODP123CL;g__ODP123CL
11524	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	3	1	0	1	5	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus
11525	0	0	1	1	1	1	0	0	1	0	0	0	0	0	0	1	1	1	1	0	1	0	0	2	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__CaulobacteraceaeFA
11527	0	0	0	0	0	0	1	2	4	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Caldithrix;c__Caldithrixae;o__Caldithrixales;f__CaldithrixalesOR;g__CaldithrixalesOR
11528	0	0	0	0	0	0	0	12	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Cohaesibacteraceae;g__CohaesibacteraceaeFA
11529	0	0	0	0	0	0	1	2	0	1	3	1	0	0	0	0	0	0	1	0	0	0	5	0	k__Bacteria;p__Planctomycetes;c__agg27;o__OM190;f__OM190OR;g__OM190OR
11530	0	0	0	0	0	0	0	0	2	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Planctomycetes;c__Planctomycea;o__Planctomycetales;f__Planctomycetaceae;g__Planctomyces
11531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	2	k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae;o__Pseudanabaenales;f__Pseudanabaenaceae;g__Leptolyngbya
11532	1	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	2	0	6	k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__HalobacteriaceaeFA
11533	0	0	0	0	0	0	0	6	1	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Verrucomicrobia;c__Opitutae;o__Puniceicoccales;f__Puniceicoccaceae;g__PuniceicoccaceaeFA
11534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	9	1	k__Bacteria;p__GN06;c__GN06PH;o__GN06PH;f__GN06PH;g__GN06PH
11535	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	2	0	2	k__Bacteria;p__Verrucomicrobia;c__VerrucomicrobiaPH;o__VerrucomicrobiaPH;f__VerrucomicrobiaPH;g__VerrucomicrobiaPH
11536	0	0	0	0	0	0	0	0	0	10	0	4	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__envOPS12;f__envOPS12OR;g__envOPS12OR
11537	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	2	1	1	5	1	k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__PhycisphaeraeCL;f__PhycisphaeraeCL;g__PhycisphaeraeCL
11538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	1	3	0	0	k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__MethanobacterialesOR;g__MethanobacterialesOR
