KO	R2A_A_D1	R2A_A_D2	R2A_B_D1	R2A_B_D2	R2A_C_D1	R2A_C_D2	SF2_A_D1	SF2_A_D2	SF2_B_D1	SF2_B_D2	SF2_C_D1	SF2_C_D2	R1_A_D1	R1_A_D2	R1_B_D1	R1_B_D2	R1_C_D1	R1_C_D2	R2_A_D1	R2_A_D2	R2_B_D1	R2_B_D2	R2_C_D1	R2_C_D2
K03415	8.0732	7.8506	7.4456	8.0276	7.9639	8.5348	7.7174	7.9684	7.6074	7.8339	7.8885	8.4038	9.4062	9.307	9.0653	8.5529	8.597	8.4111	6.4007	7.7301	8.9727	8.2599	9.0201	8.4033
K03416	3.9721	3.9928	4.7325	4.4686	4.741	4.6865	4.4846	5.1981	4.7449	5.4066	4.7288	6.1356	4.1241	4.496	5.4086	5.3106	5.4354	3.688	4.112	4.2767	5.4905	5.3451	5.9756	4.8337
K03417	9.2714	9.6482	9.613	9.5019	9.7438	9.5037	8.6938	9.0491	8.7794	8.7303	8.7786	9.2815	9.7719	9.7606	9.5984	9.9569	9.3423	9.2942	5.4225	8.3531	8.9808	9.224	9.3251	8.7989
K03418	8.356	8.8391	8.9199	8.1203	8.8108	8.109	7.6523	7.8127	7.4098	7.5954	7.4764	6.9049	7.1533	7.2475	7.7711	7.4954	7.2016	6.9256	5.4225	9.7983	7.5804	7.6478	7.385	7.2267
K03420	4.8158	6.4131	6.3764	7.3467	6.4876	7.0887	7.1258	7.6878	8.6142	9.3628	7.4305	9.3336	9.2935	8.7792	9.8391	8.769	9.5964	9.9905	6.8972	13.425	9.7372	9.4192	8.8771	8.7372
K03421	3.4744	3.4898	3.5612	3.5696	3.567	3.5305	3.5807	5.0504	3.5696	3.5682	4.0847	3.5696	6.0577	6.1609	5.5175	3.5887	5.4354	5.7699	4.112	3.7068	5.4905	4.8803	5.7779	4.1794
K03422	3.4744	3.4898	4.088	3.5696	3.567	3.5305	3.5807	5.6187	4.099	4.0971	4.0847	4.4686	6.0577	6.2532	4.9612	3.5887	6.0011	5.3014	4.112	4.2767	5.1087	4.7508	5.2834	4.1794
K03424	11.152	10.98	10.991	10.977	11.206	11.448	11.15	11.288	11.342	11.343	11.263	11.09	11.812	11.79	11.647	11.683	11.156	10.883	8.3433	10.272	11.24	11.208	11.418	10.915
K03425	3.4744	3.4898	3.5612	3.5696	3.567	3.5305	4.1137	4.0222	3.5696	3.5682	3.5587	3.5696	3.5887	4.1241	4.099	4.9891	3.5887	3.688	4.112	3.7068	4.7165	3.2501	4.9612	4.1794
K03426	9.8525	9.6793	9.7553	9.2614	9.7735	9.7367	9.4091	9.6233	9.6621	9.5799	9.5236	9.3056	9.9412	9.8499	10.405	10.363	9.8115	9.8109	6.8534	8.426	9.5748	10.074	9.9821	9.4713
K03427	12.089	12.075	12.037	12.254	12.116	12.506	11.531	11.916	11.864	12.089	11.919	12.339	13.297	13.342	13.192	13.264	12.777	11.942	9.6559	12.163	13.037	12.71	13.158	12.634
K03428	8.8296	8.1386	8.44	7.004	7.7674	7.5616	7.074	7.2382	7.004	7.2042	7.0955	6.7941	9.0125	8.9404	9.4163	9.433	8.8288	9.1007	5.7913	7.7407	8.791	9.1332	9.0886	8.8677
K03429	7.4393	7.3657	7.434	8.0842	8.0174	8.3846	7.6619	8.0292	7.8667	7.8872	7.7557	8.0719	8.5851	9.0152	8.4262	8.7758	7.9383	7.9823	6.7592	7.0849	7.8241	8.1503	7.8818	8.0045
K03430	9.1231	9.3087	9.3043	8.8922	9.2388	8.6049	9.0835	9.1173	8.8464	8.6992	8.8897	8.3336	7.7285	7.6729	7.9328	8.1478	7.4603	7.4922	4.112	7.1655	7.7768	8.0241	7.8818	7.7592
K03431	10.915	10.826	10.992	10.672	11.081	10.863	10.706	10.944	10.966	11.031	10.794	10.845	11.392	11.26	11.582	11.352	10.995	10.906	7.8883	12.233	11.015	11.217	11.148	10.604
K03432	8.5839	8.674	8.1022	8.2428	8.2598	7.9179	7.7084	7.917	8.2841	8.996	7.7805	8.7393	8.9404	8.3904	9.5446	8.4045	9.1173	9.5042	6.6545	12.743	9.3364	9.216	8.5483	8.4848
