binID	SF2_A_D1	SF2_A_D2	SF2_A_H2O	SF2_B_D1	SF2_B_D2	SF2_B_H2O	SF2_C_D1	SF2_C_D2	SF2_C_H2O	R1_A_D1	R1_A_D2	R1_A_H2O	R1_B_D1	R1_B_D2	R1_B_H2O	R1_C_D1	R1_C_D2	R1_C_H2O	R2A_A_D1	R2A_A_D2	R2A_A_H2O	R2A_B_D1	R2A_B_D2	R2A_B_H2O	R2A_C_D1	R2A_C_D2	R2A_C_H2O	R2_A_D1	R2_A_D2	R2_A_H2O	R2_B_D1	R2_B_D2	R2_B_H2O	R2_C_D1	R2_C_D2	R2_C_H2O	R2_restored_C_black	R2_restored_DShore	R2_restored_H2O
R2A_A_H2O_concoct.62	-0.81904	-3.4585	14.834	-5.9235	-4.5989	17.217	-2.4712	-3.8508	17.041	-15.056	-9.9059	-3.1657	-9.5275	-10.342	-2.4833	-11.612	-13.076	-4.891	-3.3567	-3.0073	16.726	-3.9227	-3.3752	16.001	-3.1564	-2.2546	14.124	-5.9022	-9.4906	0.81955	-11.099	-8.2307	-5.3326	-9.5941	-9.5687	-6.0307	-8.2894	-6.4817	6.0636
R2A_A_H2O_concoct.78	0.62008	-0.52333	16.285	0.18829	-0.51075	19.106	0.29534	-0.93747	19.041	-4.9182	-3.6971	-2.4285	-5.4462	-4.7469	-2.4064	-7.5296	-5.5621	-3.7517	0.69102	0.066398	17.458	-0.9033	-0.31877	17.082	-0.22888	-0.89668	15.262	-5.8299	-6.3698	-1.1422	-7.0064	-5.0779	-2.3194	-5.3417	-4.5005	-6.0307	-4.7278	-6.4817	0.83531
R2A_A_H2O_metabat.16	2.0466	1.6891	17.12	0.94007	0.54766	19.785	1.77	-0.47403	19.876	-2.2145	-1.6751	-1.5056	-2.2446	-1.5648	0.77676	-2.6447	-2.3604	-2.8938	1.3248	2.4307	18.249	2.2645	1.6995	18.052	1.8146	1.5638	16.491	-2.8892	-2.8285	5.0935	-4.0977	-2.7578	0.88953	-2.3874	-2.6689	1.3985	-2.032	-2.4723	0.83531
R2A_A_H2O_metabat.20	0.86246	0.084925	13.424	-0.82358	-1.7763	16.823	-0.12672	-1.7498	16.882	-5.0481	-4.2927	-1.7528	-4.7303	-5.6751	-1.3669	-5.2049	-5.2928	-3.3415	-0.50297	3.261	19.035	0.48554	3.4791	18.43	0.19273	0.47098	17.156	-5.8778	-2.3887	8.7405	-6.8704	-3.9737	7.3325	-6.1099	-3.3711	4.7679	-3.9969	-6.6855	12.332
R2A_A_H2O_metabat.22	2.7705	1.7581	18.327	2.8904	2.4435	20.804	2.5078	1.2174	20.845	-3.0423	-2.701	0.35826	-2.362	-2.3125	1.2616	-2.2592	-3.0383	-1.0484	4.6868	6.2434	18.322	5.2172	4.3897	18.354	4.5279	5.3739	16.114	-2.9805	-3.2644	1.5193	-3.7732	-2.9886	-0.73422	-2.1632	-2.6385	-3.2992	-1.197	0.1509	2.5842
R2A_A_H2O_metabat.49	-0.455	-2.0094	19.829	-3.3837	-2.0124	21.61	0.49481	-1.7293	21.715	-12.865	-14.731	2.4505	-6.5017	-11.33	3.3836	-11.612	-15.184	0.41815	-2.6152	-0.99573	19.223	-1.1684	-0.70991	19.73	-0.088938	-1.3067	17.796	-9.1187	-6.1803	3.5563	-9.7433	-10.758	-2.3194	-11.893	-11.827	-1.4923	-9.0954	-5.4679	-3.6411
R2A_B_D1_concoct.4	7.5724	6.532	6.1649	5.1941	4.4089	3.8333	6.0573	3.6307	3.0051	-1.5091	-1.1674	-2.2469	-0.76717	-0.034067	-2.2072	-0.34687	-0.52417	-3.2636	16.59	17.064	1.023	18.989	13.79	8.3802	15.23	13.126	9.8476	-2.2901	-1.9097	1.6074	-1.4964	-1.3928	-0.8967	0.29213	-2.0797	-0.02645	1.3558	4.393	5.4952
R2A_B_D2_concoct.11	2.5634	4.3733	3.0391	1.4148	0.91432	4.5205	1.5521	7.1942	6.4797	-8.7028	-6.5039	-9.0922	-7.0478	-6.0734	-7.6817	-7.0917	-8.1992	-8.173	-0.56435	1.794	-0.012146	12.799	19.015	1.6125	18.158	22.253	2.4015	-6.0035	-5.6391	3.8923	-6.3053	-7.6824	-5.3326	-8.0545	-7.3663	-6.0307	-4.0198	1.2378	3.1144
R2A_B_D2_concoct.37	0.78005	1.0171	0.15251	-0.070005	-0.81967	-0.54887	-0.32836	-0.24455	-1.5153	-6.4752	-6.2438	-6.0269	-6.7256	-6.2054	-7.1724	-5.9957	-7.1973	-8.5157	0.85298	9.9391	-2.2252	13.146	17.751	2.9852	13.493	14.596	5.6021	-7.0603	-5.3334	0.32445	-7.2561	-8.1203	-3.2309	-7.3411	-9.5687	-6.0307	-6.2658	0.91964	-0.7392
R2A_B_D2_concoct.47	1.4677	1.7007	-1.14	0.8519	0.56397	-1.82	1.4937	0.95079	-1.6279	-4.8872	-5.5194	-7.692	-6.0782	-6.0734	-7.4113	-5.6002	-6.1471	-9.398	-1.6224	0.066398	-3.425	5.4965	18.637	-2.3935	3.7173	9.4004	-1.2102	-7.0154	-5.7071	-0.89579	-6.5484	-7.1091	-5.3326	-5.7709	-6.3632	-6.0307	-4.1396	-2.2067	-3.6411
